question,answer,text
"Which state in the USA is equidistant from the Atlantic and Pacific Oceans, containing both the geographic centre of the 48 contiguous USA states and the geodetic centre of North America?",Kansas,"Which state in the USA is equidistant from the Atlantic and Pacific Oceans, containing both the geographic centre of the 48 contiguous USA states and the geodetic centre of North America? Kansas"
What iconic London institution was sold to the Qatar Investment Authority (Qatar's sovereign wealth fund) in May 2010?,Harrods,What iconic London institution was sold to the Qatar Investment Authority (Qatar's sovereign wealth fund) in May 2010? Harrods
Which English king was married to Anne of Bohemia?,RICHARD II,Which English king was married to Anne of Bohemia? RICHARD II
The East Siberian Sea lies in which body of water?,Arctic Ocean,The East Siberian Sea lies in which body of water? Arctic Ocean
"In Greek mythology, what is the name of the mortal woman who challenged the goddess Athena to a weaving contest and was turned into a spider by Athena?",Arachne,"In Greek mythology, what is the name of the mortal woman who challenged the goddess Athena to a weaving contest and was turned into a spider by Athena? Arachne"
Which company produced the WW1 aircraft the 'Camel'?,Sopwith,Which company produced the WW1 aircraft the 'Camel'? Sopwith
"""Who wrote the poem """"The Love Song of J Albert Prufrock""""?""",T S Eliot,"""Who wrote the poem """"The Love Song of J Albert Prufrock""""?"" T S Eliot"
"How were Fleegle, Bingo, Drooper and Snork better known collectively on TV?",The banana splits,"How were Fleegle, Bingo, Drooper and Snork better known collectively on TV? The banana splits"
"""What is the common name for """"lentigo""""?""",Freckles,"""What is the common name for """"lentigo""""?"" Freckles"
Which Nottinghamshire fast bowler who died in 1995 was best known for implementing the 'Fast Leg Theory' in the Bodyline Ashes Test series in 1932/33?,Harold Larwood,Which Nottinghamshire fast bowler who died in 1995 was best known for implementing the 'Fast Leg Theory' in the Bodyline Ashes Test series in 1932/33? Harold Larwood
Who was attacked in the American press in 1972 as `Hanoi Jane'?,Jane Fonda,Who was attacked in the American press in 1972 as `Hanoi Jane'? Jane Fonda
Who is the only P.M to have been assassinated?,Spencer Percival,Who is the only P.M to have been assassinated? Spencer Percival
For which Rugby Union club does Leigh Halfpenny play?,Toulon,For which Rugby Union club does Leigh Halfpenny play? Toulon
"In Greek myth, who was the wife of Odysseus who remained faithful during his long absence?",Penelope,"In Greek myth, who was the wife of Odysseus who remained faithful during his long absence? Penelope"
The average Britain in their life consumes 1000 lb of what?,Carrots,The average Britain in their life consumes 1000 lb of what? Carrots
"In Judaism, what name is given to the ram’s horn blown in a synagogue as a call to repentance?",Shofar,"In Judaism, what name is given to the ram’s horn blown in a synagogue as a call to repentance? Shofar"
"In Worzel Gummidge, who played the character of Aunty Sally?",Una Stubbs,"In Worzel Gummidge, who played the character of Aunty Sally? Una Stubbs"
"Jeanne-Antoinette Poisson, the official mistress of Louis XV of France from 1745 to 1750, lent her titled name to what hairstyle?",Pompadour,"Jeanne-Antoinette Poisson, the official mistress of Louis XV of France from 1745 to 1750, lent her titled name to what hairstyle? Pompadour"
Of what is hagiology the study?,SAINT,Of what is hagiology the study? SAINT
Which Mediterranean island was once known as Alashiya?,Cyprus,Which Mediterranean island was once known as Alashiya? Cyprus
"What famous event took place on December 16th, 1773?",BOSTON TEA PARTY,"What famous event took place on December 16th, 1773? BOSTON TEA PARTY"
‘The Picture of….’who’? Is a novel by Oscar Wilde?,Dorian Grey,‘The Picture of….’who’? Is a novel by Oscar Wilde? Dorian Grey
"If Elton John has had 7, ABBA have had 9, and Cliff Richard has had 14, who has had the most with 21?",Elvis Presley,"If Elton John has had 7, ABBA have had 9, and Cliff Richard has had 14, who has had the most with 21? Elvis Presley"
Which female gymnast won Gold Medals in the Balance Beam and Floor Exercise events in the 1972 Summer Olympics?,Olga Korbut,Which female gymnast won Gold Medals in the Balance Beam and Floor Exercise events in the 1972 Summer Olympics? Olga Korbut
The buccaneer Henry Morgan was pardoned and knighted by which king?,CHARLES II,The buccaneer Henry Morgan was pardoned and knighted by which king? CHARLES II
Whose portrait was painted by the fictional artist Basil Hallward?,DORIAN GRAY,Whose portrait was painted by the fictional artist Basil Hallward? DORIAN GRAY
On which river does the Kariba Dam stand?,Zambezi,On which river does the Kariba Dam stand? Zambezi
Which 1946 film was an adaptation of Raymond Chandler's crime novel of the same name?,The Big Sleep,Which 1946 film was an adaptation of Raymond Chandler's crime novel of the same name? The Big Sleep
Where would you find a stalagmite?,In a Cave,Where would you find a stalagmite? In a Cave
"In dentistry, what name is given to a gap between the two front teeth?",DIASTEMA,"In dentistry, what name is given to a gap between the two front teeth? DIASTEMA"
Market Drayton and Church Stretton are towns in which English county?,SHROPSHIRE,Market Drayton and Church Stretton are towns in which English county? SHROPSHIRE
In the Bible who was the wife of Boaz?,RUTH,In the Bible who was the wife of Boaz? RUTH
In which US city is was the first skyscraper said to have been built in 1885?,Chicago,In which US city is was the first skyscraper said to have been built in 1885? Chicago
"Commissioned by Queen Victoria in memory of her husband, in which Royal park would you find the Albert Memorial?",Kensington Gardens,"Commissioned by Queen Victoria in memory of her husband, in which Royal park would you find the Albert Memorial? Kensington Gardens"
Harry Osborn is the offsider to which comic book superhero?,Spiderman,Harry Osborn is the offsider to which comic book superhero? Spiderman
Which cartoon character had friends called Velma Dinidey and Daphne Blake?,Scooby Doo,Which cartoon character had friends called Velma Dinidey and Daphne Blake? Scooby Doo
The 'Loop of Henle' is found in which organ of the human body?,Kidney,The 'Loop of Henle' is found in which organ of the human body? Kidney
On a standard Monopoly board which property makes up the light blue set along with Euston Raod and Pentonville Road?,THE ANGEL ISLINGTON,On a standard Monopoly board which property makes up the light blue set along with Euston Raod and Pentonville Road? THE ANGEL ISLINGTON
"In the King James Version, which eponymous book of the Old Testament follows 'Isaiah' and precedes 'Lamentations'?",'JEREMIAH',"In the King James Version, which eponymous book of the Old Testament follows 'Isaiah' and precedes 'Lamentations'? 'JEREMIAH'"
Which American owned a yacht called 'Honey Fitz'?,John F KENNEDY,Which American owned a yacht called 'Honey Fitz'? John F KENNEDY
At which temperature do Fahrenheit and Celsius meet?,-40 degrees,At which temperature do Fahrenheit and Celsius meet? -40 degrees
"With the county town of Lifford, which is the most northerly of the counties of the Irish Republic?",Donegal,"With the county town of Lifford, which is the most northerly of the counties of the Irish Republic? Donegal"
"Name the actress who left Eastenders in 2011 after 25 years in the show, she played Pat Evans (also Beale, Wicks and Butcher)?",Pam St Clement,"Name the actress who left Eastenders in 2011 after 25 years in the show, she played Pat Evans (also Beale, Wicks and Butcher)? Pam St Clement"
How many bones are there in a normal human hand?,27,How many bones are there in a normal human hand? 27
"In 17th century England, what was at various times 'Addled', 'Short' and 'Useless'?",Parliament,"In 17th century England, what was at various times 'Addled', 'Short' and 'Useless'? Parliament"
The Ffestiniog Railway runs from Blaenau Ffestiniog to which other Welsh town?,Porthmadog,The Ffestiniog Railway runs from Blaenau Ffestiniog to which other Welsh town? Porthmadog
"""What is meant by the suffix """"-algia"""", as in neuralgia?""",PAIN,"""What is meant by the suffix """"-algia"""", as in neuralgia?"" PAIN"
What is the name of the fluid that surrounds the embryo in the womb?,AMNIOTIC,What is the name of the fluid that surrounds the embryo in the womb? AMNIOTIC
Name the Captain of the Titanic when she sunk in 1912,Edward Smith,Name the Captain of the Titanic when she sunk in 1912 Edward Smith
What creature is the symbol of the American Democratic Party?,Donkey,What creature is the symbol of the American Democratic Party? Donkey
"""Which long-running British TV series which began as a one-off drama entitled """"Woodentop"""" revolves around the lives of policemen stationed at Sun Hill?""",The Bill,"""Which long-running British TV series which began as a one-off drama entitled """"Woodentop"""" revolves around the lives of policemen stationed at Sun Hill?"" The Bill"
Which English 'Indie' rock group had a top ten hit in April 2008 with 'Always Where I Need To Be'?,'THE KOOKS',Which English 'Indie' rock group had a top ten hit in April 2008 with 'Always Where I Need To Be'? 'THE KOOKS'
Who did Sophie Rhys-Jones marry in 1999?,PRINCE EDWARD,Who did Sophie Rhys-Jones marry in 1999? PRINCE EDWARD
In which century did William Wallace live most of his life ?,13th,In which century did William Wallace live most of his life ? 13th
Where in the human body are the 'Billroth Cords'?,SPLEEN,Where in the human body are the 'Billroth Cords'? SPLEEN
What is Mick Hucknell's band?,Simply Red,What is Mick Hucknell's band? Simply Red
Selina Kyle is the alter ego of which comic book (and film) super heroine?,Catwoman,Selina Kyle is the alter ego of which comic book (and film) super heroine? Catwoman
The Brenner Pass connects Italy with which other country ?,AUSTRIA,The Brenner Pass connects Italy with which other country ? AUSTRIA
The Tyrol is a region in which mountain range?,Alps,The Tyrol is a region in which mountain range? Alps
British comedian Michael Joseph Pennington is better known by what name?,Johnny Vegas,British comedian Michael Joseph Pennington is better known by what name? Johnny Vegas
Name Ernest Hemmingway's book dealing with bullfighting?,Fiesta,Name Ernest Hemmingway's book dealing with bullfighting? Fiesta
What is the colour of the flower edelweiss?,WHITE,What is the colour of the flower edelweiss? WHITE
Vatsyayana completed which erotic piece of work in 400 AD?,Kama Sutra,Vatsyayana completed which erotic piece of work in 400 AD? Kama Sutra
What is the staple food of one third of the world’s population?,rice,What is the staple food of one third of the world’s population? rice
What subject does Catherine Tate’s character teach in ‘Big School’?,FRENCH,What subject does Catherine Tate’s character teach in ‘Big School’? FRENCH
"‘Houses of the Holy’ in 1973 was the fifth album released by which band, the first three contained the name of the band and the fourth was untitled?",LED ZEPPELIN,"‘Houses of the Holy’ in 1973 was the fifth album released by which band, the first three contained the name of the band and the fourth was untitled? LED ZEPPELIN"
What is the name for the heir to the French throne?,Dauphin,What is the name for the heir to the French throne? Dauphin
"Besides lions, what animal appears on the coat of arms of Queen Elizabeth II?",Unicorn,"Besides lions, what animal appears on the coat of arms of Queen Elizabeth II? Unicorn"
"In October 1992, which singer ripped up a photo of Pope John Paul II on Saturday Night Live, after performing a song protesting alleged child abuse by the Catholic Church?",Sinead O’Connor,"In October 1992, which singer ripped up a photo of Pope John Paul II on Saturday Night Live, after performing a song protesting alleged child abuse by the Catholic Church? Sinead O’Connor"
In which Irish mountain range does the River Liffey rise?,WICKLOW MOUNTAINS,In which Irish mountain range does the River Liffey rise? WICKLOW MOUNTAINS
"The yellow, brown and red pigments known as ochres are oxides of which metal?",Iron,"The yellow, brown and red pigments known as ochres are oxides of which metal? Iron"
Which modern English county did the Iceni inhabit?,Norfolk,Which modern English county did the Iceni inhabit? Norfolk
"Dubbed ""the most controversial woman in the history of rock"" by Rolling Stone, what all around waste of breath fronted the alt band Hole, is barred from having contact with her own daughter, and is probably most famous for making Kurt Cobain want to eat his own shotgun?",Courtney Love,"Dubbed ""the most controversial woman in the history of rock"" by Rolling Stone, what all around waste of breath fronted the alt band Hole, is barred from having contact with her own daughter, and is probably most famous for making Kurt Cobain want to eat his own shotgun? Courtney Love"
What is the collective noun for asparagus,Bundle,What is the collective noun for asparagus Bundle
Which was the first non-capital city after the second World War to stage the Summer Olympic Games?,MELBOURNE (1956),Which was the first non-capital city after the second World War to stage the Summer Olympic Games? MELBOURNE (1956)
What virtual cricketing prize began in 1882 when Australia beat England by 7 runs?,The Ashes,What virtual cricketing prize began in 1882 when Australia beat England by 7 runs? The Ashes
The Bledisloe Cup is contested in Rugby Union between which two nations?,Australia and New Zealand,The Bledisloe Cup is contested in Rugby Union between which two nations? Australia and New Zealand
What genus of flowering plants in the carnation family is also known as ‘baby’s breath’?,GYPSOPHILA,What genus of flowering plants in the carnation family is also known as ‘baby’s breath’? GYPSOPHILA
"Sunday county cricket teams playing in the Norwich Union League now have given themselves nicknames, what is the nickname of Northants",Steelbacks,"Sunday county cricket teams playing in the Norwich Union League now have given themselves nicknames, what is the nickname of Northants Steelbacks"
Which British prime minister resigned as a result of the Suez Crisis?,Anthony Eden,Which British prime minister resigned as a result of the Suez Crisis? Anthony Eden
"Located directly across the river Rhine from Wiesbaden is which city, the capital of the state of Rhineland- Palatinate?",MAINZ,"Located directly across the river Rhine from Wiesbaden is which city, the capital of the state of Rhineland- Palatinate? MAINZ"
"In Scandinavian mythology, who was the son of Odin that had a magic hammer called Miohir?",Thor,"In Scandinavian mythology, who was the son of Odin that had a magic hammer called Miohir? Thor"
Which heavyweight boxing champion of 1915 shares the same surname as a current Manchester City player who has the squad number 11?,JOHNSON,Which heavyweight boxing champion of 1915 shares the same surname as a current Manchester City player who has the squad number 11? JOHNSON
Which C S wrote The African Queen?,Forester,Which C S wrote The African Queen? Forester
"Geographic features called rilles that come in sinuous, arcuate and straight types are a prominent part of the landscape where?",Moon,"Geographic features called rilles that come in sinuous, arcuate and straight types are a prominent part of the landscape where? Moon"
Under what name is the American singer/songwriter Barry Alan Pincus better known?,BARRY MANILOW,Under what name is the American singer/songwriter Barry Alan Pincus better known? BARRY MANILOW
"The Sonoran Desert, one of the world's largest, is situated in which country?",UNITED STATES OF AMERICA,"The Sonoran Desert, one of the world's largest, is situated in which country? UNITED STATES OF AMERICA"
"""The """"Authorised"""" English translation of the Bible was named after whom?""",James I,"""The """"Authorised"""" English translation of the Bible was named after whom?"" James I"
"Juan Manuel Fangio, Mario Andretti, James Hunt and Niki Lauda were world champions in which sport?",Formula One,"Juan Manuel Fangio, Mario Andretti, James Hunt and Niki Lauda were world champions in which sport? Formula One"
Which of the United States was the first to give women the vote?,WYOMING,Which of the United States was the first to give women the vote? WYOMING
A titi is what type of animal?,Monkey,A titi is what type of animal? Monkey
Which team were the last winners of football's First Division before the formation of the Premier League?,Leeds United,Which team were the last winners of football's First Division before the formation of the Premier League? Leeds United
On which Scottish island was John Smith the Labour Party leader buried,Iona,On which Scottish island was John Smith the Labour Party leader buried Iona
What is the name of the only British M.P. to be a member of the Green Party?,CAROLINE LUCAS,What is the name of the only British M.P. to be a member of the Green Party? CAROLINE LUCAS
"Found in suitable habitat throughout Southeast Asia and Northern Australia, what is largest of all living reptiles?",Saltwater or estuarine crocodile,"Found in suitable habitat throughout Southeast Asia and Northern Australia, what is largest of all living reptiles? Saltwater or estuarine crocodile"
The first untethered space walk took place from which space craft?,Challenger,The first untethered space walk took place from which space craft? Challenger
"In the 13th century French tales about 'Reynard the Fox', what is the name of the cockerel?",'CHANTICLEER',"In the 13th century French tales about 'Reynard the Fox', what is the name of the cockerel? 'CHANTICLEER'"
"On June 15, 1844, Charles Goodyear was granted a patent for the vulcanization of rubber, a process by which what element, represented by the symbol S, is added to rubber?",Sulfur,"On June 15, 1844, Charles Goodyear was granted a patent for the vulcanization of rubber, a process by which what element, represented by the symbol S, is added to rubber? Sulfur"
Who composed the New World Symphony,Dvorak,Who composed the New World Symphony Dvorak
What is the southernmost state capital?,Honolulu,What is the southernmost state capital? Honolulu
"If Germany is 49 and the United Kingdom is 44, then what number is France?",33,"If Germany is 49 and the United Kingdom is 44, then what number is France? 33"
Masala wine is produced on which European island?,Sicily,Masala wine is produced on which European island? Sicily
A mummichog is what type of creature?,Fish,A mummichog is what type of creature? Fish
Which country hosted the 1994 FIFA World Cup?,USA,Which country hosted the 1994 FIFA World Cup? USA
Who became Prime Minister of India in January 1966?,Indira Gandhi,Who became Prime Minister of India in January 1966? Indira Gandhi
Who wrote the novel Watership Down?,Richard Adams,Who wrote the novel Watership Down? Richard Adams
Who was the first player to score two hundred and fifty Premier League goals,Alan Shearer,Who was the first player to score two hundred and fifty Premier League goals Alan Shearer
How many cables make up a nautical mile?,Ten,How many cables make up a nautical mile? Ten
Who became US Secretary of State in 2009?,Hillary Clinton,Who became US Secretary of State in 2009? Hillary Clinton
Who kept the score on Bullseye,Tony Green,Who kept the score on Bullseye Tony Green
Which breed of white or grey horse is used exclusively at The Spanish Riding School in Vienna?,LIPIZZANER,Which breed of white or grey horse is used exclusively at The Spanish Riding School in Vienna? LIPIZZANER
"In snooker, what coloured ball scores 5 points?",Blue,"In snooker, what coloured ball scores 5 points? Blue"
"What was Emile Ford and the Checkmates' 1959 hit, supposedly the longest ever question in a UK No1 song title?",What Do You Want to Make Those Eyes at Me For?,"What was Emile Ford and the Checkmates' 1959 hit, supposedly the longest ever question in a UK No1 song title? What Do You Want to Make Those Eyes at Me For?"
Before Yvette Fielding presented most haunted on which children's TV program was she also a presenter?,BLUE PETER,Before Yvette Fielding presented most haunted on which children's TV program was she also a presenter? BLUE PETER
"Tannenberg and The Masurian Lakes, were early battles in which war?",WORLD WAR I,"Tannenberg and The Masurian Lakes, were early battles in which war? WORLD WAR I"
Florence Ballard was a member of which girl group?,Supremes,Florence Ballard was a member of which girl group? Supremes
"Bennett Cerf, Dr. Seuss's publisher, wagered $50 that Seuss could not write a book using only fifty different words. Seuss won by writing which book?",Green Eggs and Ham,"Bennett Cerf, Dr. Seuss's publisher, wagered $50 that Seuss could not write a book using only fifty different words. Seuss won by writing which book? Green Eggs and Ham"
Who was the wife of William the Conqueror?,Matilda,Who was the wife of William the Conqueror? Matilda
The Joseon Dynasty built the ‘Five Grand Palaces’ in which capital city?,Seoul,The Joseon Dynasty built the ‘Five Grand Palaces’ in which capital city? Seoul
Who died in Antarctica only 30 miles from the finish of his heroic charity effort?,Henry Worsley,Who died in Antarctica only 30 miles from the finish of his heroic charity effort? Henry Worsley
Who was Clive Ponting accused of leaking information to during his 1985 secrets trial?,TAM DALYELL,Who was Clive Ponting accused of leaking information to during his 1985 secrets trial? TAM DALYELL
"Which British organisation, started in 1939 under Basil Dean and disbanded in 1946, represented the mobilisation of the entertainment industry?",ENSA,"Which British organisation, started in 1939 under Basil Dean and disbanded in 1946, represented the mobilisation of the entertainment industry? ENSA"
Which company manufactured the RAF's first operational jet fighter the Meteor?,Gloster,Which company manufactured the RAF's first operational jet fighter the Meteor? Gloster
"In 1976, on the 233rd birthday of its honoree, the US Mint released the $2 featuring whom on its' obverse?",Thomas Jefferson,"In 1976, on the 233rd birthday of its honoree, the US Mint released the $2 featuring whom on its' obverse? Thomas Jefferson"
The equator crosses the east coast of Africa in which country?,SOMALIA,The equator crosses the east coast of Africa in which country? SOMALIA
Name either of the US states having land borders with Rhode Island?,"Connecticut, Massachusetts","Name either of the US states having land borders with Rhode Island? Connecticut, Massachusetts"
Which sweets were advertised as the too good to hurry mints,Murray Mints,Which sweets were advertised as the too good to hurry mints Murray Mints
"When Adolf Eichmann was kidnapped by Israeli Agents, in which country was he found?",ARGENTINA,"When Adolf Eichmann was kidnapped by Israeli Agents, in which country was he found? ARGENTINA"
Lockjaw is an old fashioned term for which affliction?,TETANUS,Lockjaw is an old fashioned term for which affliction? TETANUS
Downton Abbey creator Julian Fellowes won an Oscar for best screenplay for which film?,Gosford Park,Downton Abbey creator Julian Fellowes won an Oscar for best screenplay for which film? Gosford Park
"King Edward III founded this premier order in about 1349, what is it called?",THE ORDER OF THE GARTER,"King Edward III founded this premier order in about 1349, what is it called? THE ORDER OF THE GARTER"
What was the title of the Ronnie Barker sitcom in which he played a Welsh photographer?,The Magnificent Evans,What was the title of the Ronnie Barker sitcom in which he played a Welsh photographer? The Magnificent Evans
In which US state is Palm Springs?,California,In which US state is Palm Springs? California
"Which element was named Dephlogisticated Air by its discoverer, the French chemist Lavoisier who gave it this common name?",Oxygen,"Which element was named Dephlogisticated Air by its discoverer, the French chemist Lavoisier who gave it this common name? Oxygen"
On which label did the Beach boys record most of their 60s hits?,Capitol,On which label did the Beach boys record most of their 60s hits? Capitol
Yulia Tymashenko imprisoned for abuse of her office was a former Prime Minister of which European country?,UKRAINE,Yulia Tymashenko imprisoned for abuse of her office was a former Prime Minister of which European country? UKRAINE
On a cricket field which principal position is between Mid-on and Square leg?,Mid-wicket,On a cricket field which principal position is between Mid-on and Square leg? Mid-wicket
What is the capital of France?,Paris,What is the capital of France? Paris
"In the Bible, who was the father of Seth?",Adam,"In the Bible, who was the father of Seth? Adam"
Who played 'Mister Wilson' in the 1994 film 'Denis'?,WALTER MATHAU,Who played 'Mister Wilson' in the 1994 film 'Denis'? WALTER MATHAU
In which Italian city does the Serie A football team Atalanta play its home games?,BERGAMO,In which Italian city does the Serie A football team Atalanta play its home games? BERGAMO
Which country do the Faroe Islands belong to?,Denmark,Which country do the Faroe Islands belong to? Denmark
Scottish Blackface is a breed of which animal?,Sheep,Scottish Blackface is a breed of which animal? Sheep
What woven fabric is named after a city in Syria?,Damask,What woven fabric is named after a city in Syria? Damask
"""How does Rene Descartes' philosophical proposition """"Cogito ergo sum"""" translate into English?""",I think therefore I am,"""How does Rene Descartes' philosophical proposition """"Cogito ergo sum"""" translate into English?"" I think therefore I am"
Who was the original presenter of BBC TV's 'A Question of Sport'?,David Vine,Who was the original presenter of BBC TV's 'A Question of Sport'? David Vine
"Who was the author of the 'Alan Quatermain' series and the 'Ayesha' series of novels, who was born on June 22nd. 1856?",H RIDER HAGGARD,"Who was the author of the 'Alan Quatermain' series and the 'Ayesha' series of novels, who was born on June 22nd. 1856? H RIDER HAGGARD"
In which month is the Vernal Equinox?,March,In which month is the Vernal Equinox? March
"Which country became a self-governing state within the British Empire in 1959, declared independence from Britain, joining the Federation of Malaysia in 1963, and left the federation on 9 August 1965?",Singapore,"Which country became a self-governing state within the British Empire in 1959, declared independence from Britain, joining the Federation of Malaysia in 1963, and left the federation on 9 August 1965? Singapore"
Who was the voice of the genie in the 1992 animated Disney film Aladdin?,Robin Williams,Who was the voice of the genie in the 1992 animated Disney film Aladdin? Robin Williams
"In 1992, who became the first female Director-General of the British Security Service MI5?",Stella Rimington,"In 1992, who became the first female Director-General of the British Security Service MI5? Stella Rimington"
What was the first sequel to Star Wars?,The Empire strikes Back,What was the first sequel to Star Wars? The Empire strikes Back
Statues of which political leader stand in Tavistock Square and Parliament Square?,Gandhi,Statues of which political leader stand in Tavistock Square and Parliament Square? Gandhi
N'djamena is the capital of which country?,Chad,N'djamena is the capital of which country? Chad
Who captained the 2009 England women's cricket team?,Charlotte Edwards,Who captained the 2009 England women's cricket team? Charlotte Edwards
Which state does Bob Dylan come from,Minnesota,Which state does Bob Dylan come from Minnesota
Which country produces the world's largest quantity of municipal waste per person per year?,USA,Which country produces the world's largest quantity of municipal waste per person per year? USA
"""What was the name that US President Franklin D. Roosevelt gave to his package of economic programs in the mid 1930's with the goals of """"the 3 R's"""": Relief to the unemployed & farmers, Reform of business and financial practices, and Recovery of the economy?""",The New Deal,"""What was the name that US President Franklin D. Roosevelt gave to his package of economic programs in the mid 1930's with the goals of """"the 3 R's"""": Relief to the unemployed & farmers, Reform of business and financial practices, and Recovery of the economy?"" The New Deal"
Which actor in 2005 played the title role in the TV remake of Kojak?,VING RHAMES,Which actor in 2005 played the title role in the TV remake of Kojak? VING RHAMES
What is the official designation of the Roman building commonly known as the Coliseum?,The Flavian Amphitheatre,What is the official designation of the Roman building commonly known as the Coliseum? The Flavian Amphitheatre
"In Greek legend, a woodland deity, half man, half goat, is called a ?",Satyr,"In Greek legend, a woodland deity, half man, half goat, is called a ? Satyr"
In which country was the Young Pretender Charles Edward Stuart born?,Italy,In which country was the Young Pretender Charles Edward Stuart born? Italy
The sun is currently a yellow dwarf. What will it become in about 5 billion years?,Red Giant,The sun is currently a yellow dwarf. What will it become in about 5 billion years? Red Giant
"Which Italian design company, best known for its jeans, was founded by Renzo Rosso in Molvena in 1978?",DIESEL,"Which Italian design company, best known for its jeans, was founded by Renzo Rosso in Molvena in 1978? DIESEL"
"""Who wrote the book on which Tchaikovsky based his opera, """"Eugene Onegin""""?""",Alexander Pushkin,"""Who wrote the book on which Tchaikovsky based his opera, """"Eugene Onegin""""?"" Alexander Pushkin"
Sturnus Vulgaris is more commonly known as what bird?,STARLING,Sturnus Vulgaris is more commonly known as what bird? STARLING
John Reid holds which Government post as at October 2006?,Home Secretary,John Reid holds which Government post as at October 2006? Home Secretary
US comedian Joan Alexandra Molinsky is better known by what name?,Joan Rivers,US comedian Joan Alexandra Molinsky is better known by what name? Joan Rivers
Which head of state was shot by firing squad on Christmas Day 1989?,NICOLAE CEAUSESCU,Which head of state was shot by firing squad on Christmas Day 1989? NICOLAE CEAUSESCU
Who was the first test tube baby,Louise Brown,Who was the first test tube baby Louise Brown
What is Canada's oldest city founded in 1608?,Quebec,What is Canada's oldest city founded in 1608? Quebec
Who wrote the poetic drama 'Murder in the Cathedral' in 1939?,T S Eliot,Who wrote the poetic drama 'Murder in the Cathedral' in 1939? T S Eliot
The Chao Phraya River is in which Asian country?,Thailand,The Chao Phraya River is in which Asian country? Thailand
"Broccoli, sprouts and cauliflower are all members of which family of plants?",BRASSICA,"Broccoli, sprouts and cauliflower are all members of which family of plants? BRASSICA"
Sevruga and osetrove are varieties of what?,Caviar,Sevruga and osetrove are varieties of what? Caviar
"Which office has been held by Stuart Blanch, Donald Coggan and Michael Ramsey?",ARCHBISHOP OF YORK,"Which office has been held by Stuart Blanch, Donald Coggan and Michael Ramsey? ARCHBISHOP OF YORK"
"Where in the UK is the Captain Cook Schoolroom Museum, a statue of James Cook as a boy by Nicholas Dimbleby, and a granite obelisk that marks the original site of the Cook family home?","Great Ayton, North Yorkshire","Where in the UK is the Captain Cook Schoolroom Museum, a statue of James Cook as a boy by Nicholas Dimbleby, and a granite obelisk that marks the original site of the Cook family home? Great Ayton, North Yorkshire"
Where in the human body would you find cones and rods?,Eye,Where in the human body would you find cones and rods? Eye
The Second English Civil War effectively ended on 28 August 1648 with the Royalist surrender of which town to Sir Thomas Fairfax?,COLCHESTER,The Second English Civil War effectively ended on 28 August 1648 with the Royalist surrender of which town to Sir Thomas Fairfax? COLCHESTER
Portia Simpson-Miller was sworn in as Prime Minister of which country in January 2012?,Jamaica,Portia Simpson-Miller was sworn in as Prime Minister of which country in January 2012? Jamaica
"Which long-standing cartoon characters made their debut in 'Puss Gets The Boot' in February 1940, called originally Jasper and Jinx?",Tom and Jerry,"Which long-standing cartoon characters made their debut in 'Puss Gets The Boot' in February 1940, called originally Jasper and Jinx? Tom and Jerry"
Rosh Hashanah is the Jewish celebration of what?,New Year,Rosh Hashanah is the Jewish celebration of what? New Year
Tirana is the capital of which country?,Albania,Tirana is the capital of which country? Albania
In which city are the headquarters of UNESCO?,PARIS,In which city are the headquarters of UNESCO? PARIS
Which Christian Socialist politician became chancellor of Austria in 1932?,Engelbert Dollfuss,Which Christian Socialist politician became chancellor of Austria in 1932? Engelbert Dollfuss
A UK Number 1 for Diana Ross in March 1986 written by the Bee Gees?,Chain Reaction,A UK Number 1 for Diana Ross in March 1986 written by the Bee Gees? Chain Reaction
Who succeeded Anwar Sadat as President of Egypt,Hosni Mubarak,Who succeeded Anwar Sadat as President of Egypt Hosni Mubarak
Who was the son of Darius and King of Persia from 486 to 465 BC?,XERXES,Who was the son of Darius and King of Persia from 486 to 465 BC? XERXES
In 1468 Orkney was ceded to Scotland in lieu of an unpaid dowry by the king of which country?,NORWAY,In 1468 Orkney was ceded to Scotland in lieu of an unpaid dowry by the king of which country? NORWAY
What is the name of the bird in the Peanuts comic strip?,Woodstock,What is the name of the bird in the Peanuts comic strip? Woodstock
What is the international telephone dialling code for Mexico?,52,What is the international telephone dialling code for Mexico? 52
What is the heraldic word for red?,GULES,What is the heraldic word for red? GULES
Who was the World’s first Christian martyr?,St Stephen,Who was the World’s first Christian martyr? St Stephen
"In humans, what is the name of the fibrous protein found in the outer layer of the skin and is a major constituent of hair and nails?",Keratin,"In humans, what is the name of the fibrous protein found in the outer layer of the skin and is a major constituent of hair and nails? Keratin"
"Which famous comedy double-act partner made the first ever UK mobile phone call, New Year's Day, 1985?",Ernie Wise,"Which famous comedy double-act partner made the first ever UK mobile phone call, New Year's Day, 1985? Ernie Wise"
"Who was the president of Yugoslavia, 1953-80?",Tito,"Who was the president of Yugoslavia, 1953-80? Tito"
"Which small mammal, native to Central and South America, may also be called the Honey Bear or Potto?",Kinkajou,"Which small mammal, native to Central and South America, may also be called the Honey Bear or Potto? Kinkajou"
What is the capital city of Nevada?,Carson City,What is the capital city of Nevada? Carson City
Bukit Timah is the highest point in which Republic of Southeast Asia?,Singapore,Bukit Timah is the highest point in which Republic of Southeast Asia? Singapore
